Estimated_Claim_Amount,Fraud_Flag,Litigation_Flag,Age_of_Driver,Vehicle_Age,Annual_Mileage,Driving_Experience_Years,Accident_Settlement_days,days_to_fnol,driver_risk_score,vehicle_risk,Claim_Type,Claim_Complexity,Region,Vehicle_Type,Status,Severity_Band,Gender,Occupation,ThirdParty_Role,TP_Injury_Severity
3664,0,0,74,13,15548,52,71,0,0,1,Weather,Low,Cardiff,Sedan,settled,Minor,Male,Retired,Unknown,No Injury
1430,0,1,51,5,13093,32,66,2,0,0,Collision,Low,Manchester,Sedan,settled,Minor,Male,Retired,Pedestrian,Minor
1053,0,1,67,19,9812,48,55,0,0,1,Vandalism,Low,Newcastle,SUV,settled,Minor,Male,Retired,Unknown,No Injury
3039,0,0,52,18,11758,31,143,2,0,1,Collision,Medium,London,SUV,settled,Moderate,Female,Unemployed,Unknown,No Injury
2019,0,0,32,4,9337,14,51,3,0,0,Collision,Low,Cardiff,Coupe,settled,Minor,Male,Employed,Unknown,No Injury
882,0,0,40,5,15645,19,72,7,0,0,Vandalism,Low,Liverpool,SUV,settled,Minor,Female,Employed,Unknown,No Injury
1735,0,0,35,9,10490,13,63,1,0,0,Collision,Low,Birmingham,Van,settled,Minor,Female,Employed,Driver,Minor
1326,0,0,34,15,1887,13,87,2,0,1,Vandalism,Low,Liverpool,Coupe,settled,Minor,Male,Employed,Unknown,No Injury
11671,0,1,73,18,13080,52,70,2,0,1,Collision,Low,Cardiff,Coupe,settled,Major,Female,Retired,Unknown,No Injury
3505,0,0,34,7,17045,14,51,0,0,0,Weather,Low,London,Sedan,settled,Minor,Female,Employed,Unknown,No Injury
2345,0,0,19,20,9359,0,87,5,2,1,Collision,Low,Edinburgh,Sedan,settled,Minor,Female,Student,Unknown,No Injury
1404,0,0,74,6,19497,53,79,0,0,0,Collision,Low,Liverpool,Sedan,settled,Minor,Female,Retired,Unknown,No Injury
31671,0,0,54,18,9761,35,376,3,0,1,Collision,High,Edinburgh,SUV,settled,Severe,Female,Unemployed,Driver,Minor
1733,0,0,68,5,15300,50,75,2,0,0,Collision,Low,Cardiff,SUV,settled,Minor,Female,Retired,Unknown,No Injury
6230,0,0,28,14,19926,9,105,5,0,1,Weather,Medium,Manchester,SUV,settled,Moderate,Female,Student,Unknown,No Injury
1610,0,0,74,12,14491,52,36,2,0,1,Collision,Low,Edinburgh,Hatchback,settled,Minor,Female,Retired,Unknown,No Injury
1444,0,0,73,3,17312,55,66,0,0,0,Collision,Low,Liverpool,SUV,settled,Minor,Female,Retired,Passenger,Minor
4210,0,0,49,19,7847,28,82,5,0,1,Collision,Low,Glasgow,Sedan,settled,Moderate,Female,Employed,Driver,Minor
3889,0,0,36,20,8952,15,34,0,0,1,Theft,Low,Edinburgh,Sedan,settled,Minor,Male,Employed,Unknown,No Injury
1487,0,0,72,12,14948,50,41,0,0,1,Collision,Low,Cardiff,Hatchback,settled,Minor,Male,Retired,Driver,Minor
1311,0,0,52,20,20310,31,66,2,0,1,Vandalism,Low,Newcastle,SUV,settled,Minor,Female,Retired,Unknown,No Injury
15510,0,0,77,20,6295,59,34,0,0,1,Fire,Low,Cardiff,Sedan,settled,Minor,Female,Retired,Unknown,No Injury
743981,0,0,48,15,10894,26,163,2,0,1,Fire,Medium,Manchester,Hatchback,settled,Catastrophic,Male,Employed,Unknown,No Injury
2168,0,0,74,10,7499,54,38,3,0,0,Collision,Low,Bristol,Sedan,settled,Minor,Female,Retired,Pedestrian,Minor
2195,0,0,69,13,14433,50,65,1,0,1,Collision,Low,Cardiff,Hatchback,settled,Minor,Male,Retired,Unknown,No Injury
11480,0,0,30,1,15629,10,-661,5,0,0,Collision,Low,London,Hatchback,open,Major,Female,Employed,Passenger,Minor
11592,0,0,57,13,13271,39,62,3,0,1,Collision,Low,London,SUV,settled,Major,Male,Employed,Unknown,No Injury
5441,0,0,26,11,14662,8,53,4,0,1,Collision,Low,Cardiff,SUV,settled,Moderate,Female,Student,Unknown,No Injury
1570,0,0,56,11,10112,37,89,0,0,1,Collision,Low,Glasgow,Hatchback,settled,Minor,Female,Self-Employed,Passenger,Minor
2438,0,0,70,0,8725,52,59,2,0,0,Collision,Low,Leeds,Coupe,settled,Minor,Female,Retired,Pedestrian,Serious
147663,0,0,74,5,17284,54,406,0,0,0,Collision,High,Bristol,Sedan,settled,Catastrophic,Male,Retired,Unknown,No Injury
2546,0,0,38,19,8389,17,79,0,0,1,Collision,Low,Manchester,SUV,settled,Minor,Male,Employed,Unknown,No Injury
1677,0,0,70,10,18863,49,74,1,0,0,Collision,Low,London,Motorcycle,settled,Minor,Male,Retired,Unknown,No Injury
2008,0,0,79,5,18425,58,33,0,0,0,Collision,Low,Newcastle,Sedan,settled,Minor,Female,Retired,Driver,Minor
15423,0,0,53,0,9355,31,473,5,0,0,Weather,High,Glasgow,SUV,settled,Major,Male,Self-Employed,Unknown,No Injury
21213,0,0,46,17,1979,25,77,1,0,1,Weather,Medium,Manchester,SUV,settled,Major,Male,Employed,Unknown,No Injury
5533,0,0,56,7,10042,34,102,1,0,0,Vandalism,Low,Manchester,Hatchback,settled,Major,Female,Unemployed,Unknown,No Injury
1191,0,0,74,3,16068,56,79,4,0,0,Vandalism,Low,Liverpool,SUV,settled,Minor,Male,Retired,Passenger,Serious
19265,1,0,52,8,13028,33,88,1,0,0,Weather,Low,Leeds,Sedan,settled,Major,Male,Unemployed,Pedestrian,Serious
8814,0,0,55,10,14577,37,190,4,0,0,Other,Medium,Manchester,Coupe,settled,Moderate,Male,Retired,Unknown,No Injury
15512,0,0,77,20,13447,58,-436,0,0,1,Collision,Medium,Leeds,SUV,open,Major,Male,Self-Employed,Unknown,No Injury
1934,0,0,67,2,16336,46,39,2,0,0,Collision,Low,Cardiff,Coupe,settled,Minor,Male,Retired,Driver,Minor
5274,0,0,33,12,12992,15,39,0,0,1,Collision,Low,Bristol,Hatchback,settled,Moderate,Female,Self-Employed,Unknown,No Injury
1180,0,0,66,17,7078,46,79,0,0,1,Vandalism,Low,Liverpool,SUV,settled,Minor,Male,Retired,Unknown,No Injury
2552,0,1,73,11,11210,53,85,3,0,1,Collision,Low,Edinburgh,SUV,settled,Minor,Female,Retired,Unknown,No Injury
40029,0,0,31,17,7238,12,198,7,0,1,Collision,Medium,Edinburgh,Coupe,settled,Severe,Female,Employed,Pedestrian,Minor
1725,0,0,47,9,8939,29,185,5,0,0,Collision,Medium,Glasgow,Sedan,settled,Minor,Male,Employed,Unknown,No Injury
6253,0,0,28,19,12465,9,54,2,0,1,Theft,Low,Cardiff,SUV,settled,Minor,Male,Self-Employed,Passenger,Minor
10060,0,0,64,11,12341,42,61,2,0,1,Weather,Low,Glasgow,Sedan,settled,Moderate,Female,Employed,Unknown,No Injury
36712,0,0,31,4,12431,12,181,1,0,0,Collision,Medium,Bristol,Coupe,settled,Severe,Female,Employed,Unknown,No Injury
3851,0,0,58,8,11925,40,85,3,0,0,Theft,Low,Newcastle,Sedan,settled,Minor,Male,Employed,Unknown,No Injury
2283,0,0,64,9,11081,44,77,2,0,0,Collision,Low,Newcastle,SUV,settled,Minor,Female,Self-Employed,Passenger,Minor
1361,0,0,72,0,14718,51,31,0,0,0,Vandalism,Low,Manchester,Coupe,settled,Minor,Female,Retired,Unknown,No Injury
412918,0,0,29,3,11016,8,165,0,0,0,Fire,Medium,Bristol,Hatchback,settled,Catastrophic,Female,Employed,Unknown,No Injury
1234,0,0,55,15,21708,34,40,1,0,1,Vandalism,Low,Bristol,SUV,settled,Minor,Male,Employed,Unknown,No Injury
13032,0,0,27,16,15271,5,68,2,0,1,Theft,Low,Leeds,Hatchback,settled,Moderate,Female,Self-Employed,Unknown,No Injury
4279,0,0,75,12,6815,55,106,0,0,1,Collision,Medium,Manchester,Hatchback,settled,Moderate,Female,Retired,Unknown,No Injury
2642,0,0,57,12,8801,39,87,2,0,1,Weather,Low,Edinburgh,SUV,settled,Minor,Male,Unemployed,Unknown,No Injury
1999,0,0,76,13,11244,55,64,0,0,1,Collision,Low,Glasgow,SUV,settled,Minor,Female,Retired,Pedestrian,Minor
4353,0,0,26,7,15816,4,43,0,1,0,Collision,Low,Leeds,Coupe,settled,Moderate,Male,Self-Employed,Unknown,No Injury
12660,0,0,27,5,3787,8,80,5,0,0,Collision,Low,Edinburgh,SUV,settled,Major,Male,Self-Employed,Unknown,No Injury
1499,0,0,55,15,6942,33,68,0,0,1,Collision,Low,Cardiff,SUV,settled,Minor,Female,Retired,Unknown,No Injury
6304,0,0,39,14,13101,17,76,1,0,1,Collision,Low,Liverpool,Sedan,settled,Moderate,Female,Student,Passenger,Minor
2115,0,0,31,18,17714,10,87,7,0,1,Other,Low,Leeds,Sedan,settled,Minor,Male,Employed,Driver,Minor
2045,0,0,41,7,19083,22,48,4,0,0,Collision,Low,London,Coupe,settled,Minor,Female,Self-Employed,Pedestrian,Minor
24865,0,0,28,11,17922,6,170,2,0,1,Theft,Medium,London,SUV,settled,Major,Male,Student,Driver,Minor
8159,0,0,56,8,13894,35,60,1,0,0,Weather,Low,Liverpool,Hatchback,settled,Moderate,Male,Retired,Passenger,Minor
44535,0,0,28,6,11942,6,119,3,0,0,Theft,Low,Manchester,SUV,settled,Major,Female,Employed,Unknown,No Injury
100153,0,0,18,3,14164,0,669,0,2,0,Theft,Medium,Glasgow,Sedan,open,Severe,Female,Student,Pedestrian,Minor
1464,0,0,42,14,18828,24,63,30,0,1,Collision,Low,Birmingham,Sedan,settled,Minor,Male,Unemployed,Unknown,No Injury
1580,0,0,76,18,14169,55,34,0,0,1,Collision,Low,Manchester,Van,settled,Minor,Male,Retired,Driver,Minor
2461,0,0,64,2,13271,46,34,4,0,0,Collision,Low,Liverpool,Hatchback,settled,Minor,Male,Employed,Unknown,No Injury
56950,0,0,71,1,11506,53,72,1,0,0,Fire,Low,London,SUV,settled,Major,Female,Retired,Unknown,No Injury
18017,0,0,45,5,15145,25,69,1,0,0,Collision,Low,Manchester,Hatchback,settled,Major,Male,Employed,Unknown,No Injury
4210,0,0,77,6,8879,58,49,0,0,0,Theft,Low,Liverpool,Hatchback,settled,Minor,Male,Retired,Unknown,No Injury
1904,0,0,40,18,8982,21,33,0,0,1,Collision,Low,Leeds,SUV,settled,Minor,Female,Self-Employed,Pedestrian,Minor
2247,0,0,45,3,10731,26,50,3,0,0,Collision,Low,Leeds,Hatchback,settled,Minor,Male,Self-Employed,Unknown,No Injury
1969,0,0,38,14,13994,18,45,5,0,1,Collision,Low,Bristol,Hatchback,settled,Minor,Female,Employed,Unknown,No Injury
2002,0,0,49,2,14009,31,62,1,0,0,Collision,Low,Glasgow,Sedan,settled,Minor,Female,Employed,Passenger,Minor
2194,1,1,59,11,12964,39,42,0,0,1,Collision,Low,Manchester,SUV,settled,Minor,Male,Self-Employed,Unknown,No Injury
13991,0,0,37,17,8204,18,75,0,0,1,Theft,Low,Birmingham,Van,settled,Moderate,Female,Employed,Unknown,No Injury
19486,1,0,61,3,12291,39,50,4,0,0,Fire,Low,Edinburgh,SUV,settled,Minor,Male,Employed,Unknown,No Injury
27923,0,1,41,14,12910,20,164,0,0,1,Collision,High,London,Van,settled,Severe,Male,Employed,Unknown,No Injury
1769,0,0,37,5,11792,18,74,3,0,0,Vandalism,Low,Bristol,Sedan,settled,Minor,Male,Employed,Unknown,No Injury
6772,0,0,57,20,6646,39,128,5,0,1,Theft,Medium,Edinburgh,Van,settled,Minor,Female,Employed,Unknown,No Injury
10099,0,0,47,3,10736,25,106,3,0,0,Collision,Medium,Liverpool,Sedan,settled,Major,Male,Employed,Unknown,No Injury
6502,0,0,68,20,14171,49,42,0,0,1,Collision,Low,Manchester,Sedan,settled,Moderate,Male,Retired,Unknown,No Injury
2166,0,0,51,0,16103,31,58,2,0,0,Collision,Low,Glasgow,Sedan,settled,Minor,Female,Employed,Unknown,No Injury
16177,0,0,69,15,13906,50,71,30,0,1,Fire,Low,Liverpool,SUV,settled,Minor,Male,Retired,Unknown,No Injury
2458,0,0,53,17,12797,35,58,1,0,1,Other,Low,Newcastle,Hatchback,settled,Minor,Male,Employed,Unknown,No Injury
4824,0,0,64,7,11929,43,69,0,0,0,Collision,Low,Glasgow,Van,settled,Moderate,Female,Retired,Pedestrian,Minor
49993,0,0,45,3,17532,25,116,0,0,0,Collision,Medium,Leeds,Van,settled,Severe,Female,Self-Employed,Unknown,No Injury
4367,0,0,47,15,11469,28,56,0,0,1,Collision,Low,Bristol,Sedan,settled,Moderate,Male,Employed,Unknown,No Injury
10279,0,0,39,14,13101,17,87,0,0,1,Theft,Low,Liverpool,Sedan,settled,Moderate,Female,Student,Unknown,No Injury
3198,0,0,73,16,6832,55,83,0,0,1,Weather,Low,Cardiff,Sedan,settled,Minor,Female,Retired,Unknown,No Injury
12816,0,1,53,7,7250,35,48,2,0,0,Theft,Low,Liverpool,Coupe,settled,Moderate,Female,Employed,Unknown,No Injury
6110,0,0,69,13,15686,49,468,0,0,1,Collision,Medium,Cardiff,SUV,open,Moderate,Male,Retired,Unknown,No Injury
1818,0,0,36,6,16694,17,43,0,0,0,Collision,Low,London,Coupe,settled,Minor,Female,Self-Employed,Passenger,Minor
1820,0,0,30,15,18419,11,157,1,0,1,Collision,Medium,Bristol,Coupe,settled,Minor,Female,Self-Employed,Unknown,No Injury
1419,0,0,72,9,8731,52,44,2,0,0,Collision,Low,Liverpool,Sedan,settled,Minor,Male,Retired,Unknown,No Injury
9143,0,0,44,5,11978,26,154,3,0,0,Other,Medium,Edinburgh,Hatchback,settled,Moderate,Female,Employed,Unknown,No Injury
15401,0,0,31,3,11498,11,84,1,0,0,Fire,Low,Leeds,Motorcycle,settled,Minor,Female,Employed,Driver,Minor
21975,0,0,29,17,10603,7,332,0,0,1,Collision,High,Birmingham,Sedan,settled,Severe,Female,Employed,Unknown,No Injury
4937,0,0,70,17,10346,51,55,1,0,1,Collision,Low,Bristol,SUV,settled,Moderate,Female,Retired,Unknown,No Injury
11241,1,0,28,15,12866,9,147,1,0,1,Collision,Medium,Cardiff,Sedan,settled,Major,Male,Employed,Unknown,No Injury
2869,0,0,24,12,11084,3,34,3,2,1,Collision,Low,Manchester,Hatchback,settled,Minor,Male,Employed,Unknown,No Injury
133560,0,0,33,16,12678,15,384,1,0,1,Collision,High,Liverpool,Sedan,settled,Catastrophic,Female,Employed,Pedestrian,Minor
5999,0,0,55,9,13239,34,309,2,0,0,Weather,High,Manchester,SUV,settled,Moderate,Male,Unemployed,Unknown,No Injury
1969,0,0,57,1,12545,39,61,1,0,0,Vandalism,Low,Liverpool,Van,settled,Minor,Female,Retired,Unknown,No Injury
2134,0,0,66,6,16134,45,35,0,0,0,Other,Low,Glasgow,Sedan,settled,Minor,Female,Retired,Pedestrian,Minor
1752,0,0,65,4,9302,45,-866,1,0,0,Collision,Low,Glasgow,Hatchback,open,Minor,Female,Retired,Unknown,No Injury
2806,0,0,71,6,15345,52,50,7,0,0,Vandalism,Low,Leeds,Van,settled,Moderate,Male,Retired,Unknown,No Injury
4265,0,0,51,16,14979,33,50,1,0,1,Collision,Low,Newcastle,SUV,settled,Moderate,Male,Employed,Unknown,No Injury
16654,0,0,38,16,10561,18,75,2,0,1,Fire,Low,Liverpool,Coupe,settled,Minor,Female,Unemployed,Passenger,Minor
45268,0,0,21,17,16568,2,386,7,2,1,Collision,High,London,Coupe,settled,Severe,Female,Student,Unknown,No Injury
2261,0,1,61,14,10314,39,81,0,0,1,Collision,Low,Birmingham,Sedan,settled,Minor,Male,Self-Employed,Passenger,Minor
6606,0,0,52,2,10460,30,92,1,0,0,Collision,Low,Birmingham,Hatchback,settled,Moderate,Male,Self-Employed,Unknown,No Injury
4258,1,0,24,2,8099,4,105,5,2,0,Vandalism,Low,Glasgow,Hatchback,settled,Moderate,Male,Employed,Unknown,No Injury
6539,0,1,38,18,11706,17,153,4,0,1,Collision,Medium,Liverpool,Van,settled,Moderate,Female,Employed,Passenger,Serious
1110,0,0,32,19,17741,10,42,3,0,1,Vandalism,Low,Newcastle,Hatchback,settled,Minor,Female,Employed,Passenger,Minor
2688,0,0,66,12,24771,48,81,1,0,1,Collision,Low,Cardiff,Sedan,settled,Minor,Female,Retired,Passenger,Minor
10352,0,0,78,19,15650,60,207,3,0,1,Collision,Medium,Manchester,Hatchback,settled,Major,Male,Retired,Unknown,No Injury
151676,0,0,67,2,10365,49,484,3,0,0,Other,High,Leeds,SUV,settled,Catastrophic,Male,Retired,Unknown,No Injury
8183,0,0,30,20,5164,11,48,0,0,1,Theft,Low,Birmingham,Sedan,settled,Moderate,Female,Employed,Unknown,No Injury
11744,0,0,39,20,16014,20,184,0,0,1,Collision,Medium,Birmingham,Sedan,settled,Major,Male,Employed,Unknown,No Injury
1949,0,0,57,16,15316,35,36,0,0,1,Collision,Low,Birmingham,Sedan,settled,Minor,Female,Employed,Unknown,No Injury
948,0,0,69,4,10238,48,53,2,0,0,Collision,Low,Manchester,Sedan,settled,Minor,Male,Retired,Passenger,Minor
3362,0,0,53,17,17438,35,54,0,0,1,Vandalism,Low,Bristol,Sedan,settled,Moderate,Female,Employed,Unknown,No Injury
9953,0,0,19,14,20072,0,126,0,2,1,Weather,Medium,Edinburgh,Sedan,settled,Moderate,Female,Student,Pedestrian,Minor
5197,0,0,58,2,17884,39,199,1,0,0,Vandalism,High,Newcastle,Sedan,settled,Major,Female,Employed,Passenger,Minor
10379,0,0,65,4,9547,46,93,0,0,0,Theft,Low,London,Sedan,settled,Moderate,Female,Retired,Unknown,No Injury
1780,0,0,67,0,5448,48,65,0,0,0,Collision,Low,Cardiff,Hatchback,settled,Minor,Male,Unemployed,Passenger,Minor
4551,0,0,57,20,6514,36,88,0,0,1,Theft,Low,Liverpool,SUV,settled,Minor,Female,Unemployed,Unknown,No Injury
1291,0,0,51,17,7725,33,33,1,0,1,Vandalism,Low,Glasgow,Coupe,settled,Minor,Female,Retired,Unknown,No Injury
1925,1,0,57,13,5836,35,37,4,0,1,Collision,Low,Leeds,Hatchback,settled,Minor,Female,Employed,Passenger,Minor
1518,0,0,41,6,11853,19,40,6,0,0,Collision,Low,Glasgow,SUV,settled,Minor,Male,Self-Employed,Unknown,No Injury
2422,0,0,42,17,15935,23,55,3,0,1,Weather,Low,Cardiff,Motorcycle,settled,Minor,Female,Employed,Passenger,Minor
1929,0,0,41,18,12703,22,34,2,0,1,Collision,Low,Manchester,Sedan,settled,Minor,Female,Employed,Pedestrian,Serious
2256,0,0,58,10,9349,40,87,3,0,0,Collision,Low,Edinburgh,Sedan,settled,Minor,Male,Employed,Unknown,No Injury
4775,0,0,43,11,17806,21,145,1,0,1,Vandalism,Medium,Edinburgh,SUV,settled,Major,Male,Employed,Pedestrian,Minor
12425,0,0,56,6,4665,34,106,0,0,0,Theft,Medium,Bristol,SUV,settled,Moderate,Male,Employed,Pedestrian,Serious
358769,0,0,73,7,15346,51,206,0,0,0,Fire,Medium,Birmingham,Hatchback,settled,Severe,Female,Retired,Unknown,No Injury
5608,0,0,77,4,9925,59,76,2,0,0,Collision,Low,Edinburgh,Van,settled,Moderate,Female,Retired,Unknown,No Injury
11721,0,0,68,12,6608,50,194,0,0,1,Collision,High,Leeds,Sedan,settled,Major,Female,Retired,Unknown,No Injury
9349,0,0,65,18,14098,45,90,7,0,1,Weather,Low,Newcastle,Hatchback,settled,Moderate,Male,Retired,Passenger,Minor
1369,0,0,72,11,8227,52,49,3,0,1,Vandalism,Low,Manchester,Coupe,settled,Minor,Male,Unemployed,Pedestrian,Minor
9207,0,0,38,9,10338,20,84,1,0,0,Collision,Medium,Manchester,Sedan,settled,Major,Male,Employed,Pedestrian,Minor
4214,0,0,75,1,14482,53,42,2,0,0,Theft,Low,Edinburgh,Van,settled,Minor,Male,Retired,Unknown,No Injury
1615,0,0,78,3,18353,59,57,1,0,0,Collision,Low,Leeds,Coupe,settled,Minor,Male,Self-Employed,Unknown,No Injury
10978,0,0,46,10,14046,28,89,0,0,0,Collision,Low,Edinburgh,Sedan,settled,Major,Male,Self-Employed,Unknown,No Injury
6877,0,0,53,1,20742,33,178,4,0,0,Other,Medium,Edinburgh,Van,settled,Moderate,Male,Retired,Driver,Minor
1590,0,1,53,6,2232,32,113,0,0,0,Collision,Medium,Edinburgh,SUV,settled,Minor,Male,Employed,Unknown,No Injury
1989,0,0,46,20,10506,24,64,6,0,1,Collision,Low,Edinburgh,SUV,settled,Minor,Female,Employed,Unknown,No Injury
2503,0,0,33,1,15184,15,83,2,0,0,Collision,Low,Newcastle,Hatchback,settled,Minor,Male,Employed,Unknown,No Injury
3580,0,0,48,15,9478,28,86,0,0,1,Weather,Low,Bristol,Sedan,settled,Minor,Female,Employed,Passenger,Minor
5560,0,0,74,2,10686,55,72,0,0,0,Theft,Low,Birmingham,SUV,settled,Minor,Female,Retired,Unknown,No Injury
4453,1,0,66,11,2413,48,78,0,0,1,Collision,Low,Edinburgh,Sedan,settled,Moderate,Male,Retired,Passenger,Minor
1880,0,0,73,8,5990,53,35,3,0,0,Collision,Low,Cardiff,SUV,settled,Minor,Female,Retired,Unknown,No Injury
31594,0,0,52,4,12425,32,191,1,0,0,Collision,Medium,Leeds,SUV,settled,Severe,Male,Employed,Unknown,No Injury
34801,0,0,63,1,14452,41,339,0,0,0,Collision,High,London,Hatchback,settled,Severe,Female,Unemployed,Unknown,No Injury
2941,0,0,73,6,14371,53,77,0,0,0,Other,Low,Cardiff,Van,settled,Minor,Female,Retired,Unknown,No Injury
1876,0,0,46,8,9477,25,46,1,0,0,Collision,Low,London,SUV,settled,Minor,Female,Employed,Driver,Minor
64774,0,0,21,8,23143,2,89,2,2,0,Fire,Medium,Edinburgh,Motorcycle,settled,Major,Female,Student,Unknown,No Injury
31268,0,0,59,18,10779,39,46,0,0,1,Theft,Low,Edinburgh,Sedan,settled,Major,Male,Unemployed,Unknown,No Injury
10930,0,0,71,18,11789,52,67,1,0,1,Collision,Low,London,Sedan,settled,Major,Female,Retired,Unknown,No Injury
4155,0,0,49,17,15491,28,54,1,0,1,Weather,Low,Bristol,Sedan,settled,Minor,Female,Student,Driver,Minor
5008,1,0,27,11,17573,7,63,0,0,1,Theft,Low,Cardiff,Hatchback,settled,Minor,Female,Employed,Pedestrian,Minor
2095,0,0,40,19,17628,18,37,1,0,1,Vandalism,Low,Cardiff,Hatchback,settled,Moderate,Male,Self-Employed,Unknown,No Injury
2163,1,0,47,18,9609,28,48,3,0,1,Collision,Low,Leeds,SUV,settled,Minor,Male,Employed,Pedestrian,Minor
3437,0,0,51,8,12619,32,50,3,0,0,Weather,Low,Cardiff,Hatchback,settled,Minor,Female,Retired,Passenger,Minor
13853,0,0,39,6,9165,20,70,1,0,0,Collision,Low,London,SUV,settled,Major,Male,Student,Unknown,No Injury
3697,0,0,43,8,12983,25,40,0,0,0,Weather,Low,Edinburgh,Sedan,settled,Minor,Male,Employed,Driver,Minor
3023,0,0,30,12,19240,11,59,2,0,1,Other,Low,Manchester,SUV,settled,Minor,Male,Employed,Pedestrian,Minor
2198,0,0,73,4,15441,53,88,1,0,0,Weather,Low,Glasgow,Sedan,settled,Minor,Male,Retired,Unknown,No Injury
8498,0,0,59,6,19083,37,64,0,0,0,Collision,Low,Glasgow,Sedan,settled,Major,Female,Self-Employed,Unknown,No Injury
5830,0,0,36,20,20742,16,81,3,0,1,Collision,Low,Cardiff,Hatchback,settled,Moderate,Male,Self-Employed,Unknown,No Injury
5814,0,0,51,0,16103,31,35,0,0,0,Theft,Low,Glasgow,Sedan,settled,Minor,Female,Employed,Unknown,No Injury
7754,0,0,55,6,11703,35,67,2,0,0,Collision,Low,Newcastle,Sedan,settled,Moderate,Male,Unemployed,Driver,Minor
24486,0,0,25,18,6773,5,122,1,0,1,Fire,Medium,Liverpool,SUV,settled,Moderate,Female,Self-Employed,Unknown,No Injury
4067,0,0,21,16,15130,0,60,2,2,1,Collision,Low,Newcastle,SUV,settled,Moderate,Male,Student,Unknown,No Injury
20699,0,0,50,16,16181,32,117,1,0,1,Weather,Low,London,Van,settled,Major,Male,Employed,Unknown,No Injury
4806,0,1,32,7,17818,14,69,0,0,0,Weather,Low,Leeds,SUV,settled,Minor,Female,Self-Employed,Unknown,No Injury
10721,0,0,51,4,6224,32,97,2,0,0,Collision,Low,Leeds,Motorcycle,settled,Major,Male,Employed,Passenger,Minor
2383,0,0,23,20,13141,1,134,0,2,1,Collision,Medium,Edinburgh,Motorcycle,settled,Minor,Female,Employed,Passenger,Minor
12610,0,0,42,19,10720,21,238,3,0,1,Fire,Low,London,Sedan,open,Minor,Male,Employed,Unknown,No Injury
39362,0,0,54,1,12760,34,162,2,0,0,Theft,Medium,Cardiff,Hatchback,settled,Major,Female,Self-Employed,Unknown,No Injury
4640,0,0,48,17,16812,26,75,0,0,1,Other,Low,Edinburgh,SUV,settled,Minor,Female,Unemployed,Pedestrian,Minor
5476,0,0,55,9,13239,34,36,0,0,0,Collision,Low,Manchester,SUV,settled,Moderate,Male,Unemployed,Unknown,No Injury
6426,0,1,42,13,16859,23,77,1,0,1,Weather,Low,Newcastle,Sedan,settled,Moderate,Female,Self-Employed,Unknown,No Injury
10104,0,0,46,19,11314,26,119,2,0,1,Other,Medium,Edinburgh,Van,settled,Major,Male,Employed,Unknown,No Injury
2120,0,0,76,11,11970,55,152,1,0,1,Collision,Medium,Cardiff,Hatchback,settled,Minor,Female,Retired,Unknown,No Injury
2144,0,0,21,9,7058,0,38,0,2,0,Collision,Low,Glasgow,SUV,settled,Minor,Female,Unemployed,Passenger,Minor
93605,0,0,44,8,17424,23,269,1,0,0,Collision,High,Manchester,Hatchback,settled,Catastrophic,Female,Employed,Pedestrian,Minor
70044,0,0,72,16,12521,52,129,6,0,1,Weather,High,Liverpool,Sedan,settled,Severe,Male,Retired,Unknown,No Injury
4806,0,0,64,4,8931,42,80,1,0,0,Theft,Low,Cardiff,Hatchback,settled,Minor,Female,Unemployed,Unknown,No Injury
6178,0,0,44,2,8303,25,58,6,0,0,Theft,Low,Birmingham,Hatchback,settled,Minor,Male,Employed,Driver,Minor
1432,0,0,48,11,9484,30,99,30,0,1,Collision,Low,Edinburgh,Coupe,settled,Minor,Male,Employed,Unknown,No Injury
26376,0,1,30,2,6718,9,99,3,0,0,Collision,Medium,Birmingham,Motorcycle,settled,Severe,Female,Employed,Unknown,No Injury
10165,0,0,74,14,11121,53,-893,0,0,1,Collision,Low,Manchester,Hatchback,open,Major,Female,Retired,Unknown,No Injury
14736,0,0,72,0,8702,50,93,1,0,0,Theft,Medium,Liverpool,Hatchback,settled,Moderate,Female,Retired,Passenger,Minor
10261,0,0,44,9,19850,26,50,1,0,0,Collision,Low,Newcastle,SUV,settled,Major,Male,Unemployed,Driver,Serious
2839,0,0,33,9,17362,15,39,1,0,0,Vandalism,Low,Edinburgh,SUV,settled,Moderate,Male,Student,Unknown,No Injury
2257,0,0,78,3,15169,56,81,0,0,0,Other,Low,Edinburgh,Van,settled,Minor,Male,Retired,Unknown,No Injury
1712,0,0,34,7,9071,14,35,1,0,0,Weather,Low,Liverpool,Sedan,settled,Minor,Female,Self-Employed,Unknown,No Injury
2042,0,0,78,3,12078,59,86,2,0,0,Collision,Low,Edinburgh,Hatchback,settled,Minor,Female,Employed,Unknown,No Injury
13954,0,0,24,20,7649,6,49,0,1,1,Fire,Low,Manchester,SUV,settled,Minor,Male,Unemployed,Unknown,No Injury
3643,0,0,67,20,5683,45,83,1,0,1,Weather,Low,Liverpool,Sedan,settled,Minor,Female,Retired,Driver,Minor
8876,0,0,41,20,15492,23,-1683,2,0,1,Collision,Low,Bristol,Hatchback,open,Major,Female,Employed,Pedestrian,Minor
3572,0,0,31,20,14650,12,88,1,0,1,Weather,Low,Liverpool,Hatchback,settled,Minor,Male,Employed,Driver,Minor
